title_raw,year,journal_raw,doi_raw,score,razones
Composted sewage sludge reshapes soil resistome connectivity and enhances antibiotic resistance gene dissemination in paddy fields,2025,Science of the Total Environment,10.1016/j.scitotenv.2025.181049,6,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
"NIR-II-triggered PTT/ TDT synergistic treatment system: Highly effective hemostatic and antibacterial, promotes deep wound healing",2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.138476,6,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Efficient removal of tetracycline hydrochloride by cobalt-modified Enteromorpha prolifera derived biochar: Synergy of adsorption and sulfite activation,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134435,60,EXCL: no menciona medio acuoso
"Generating singlet oxygen via one-electron oxygen reduction by cobalt oxide composite N, P doped carbon material for degradation of sulfamerazine",2025,Separation and Purification Technology,10.1016/j.seppur.2025.134326,10,EXCL: no menciona antibiotico ni hormona
Light-mediated enhancement effect derived from carbon nitrogen polymer to regulate peroxymonosulfate activation over Co3O4 for effective degradation of fluorinated pharmaceuticals,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134254,30,EXCL: no menciona medio acuoso
Mechanistic insights of diclofenac adsorption on functionalized Clay-Based adsorptive Film: Bridging experimental and molecular dynamics findings,2025,Separation and Purification Technology,10.1016/j.seppur.2025.134119,72,EXCL: no menciona antibiotico ni hormona
Repurposing of Cefotaxime for Its Therapeutic Potential in Alzheimer’s Disease: An Explanation of the Possible Mechanism of Action,2025,ACS Chemical Neuroscience,10.1021/acschemneuro.5c00714,10,EXCL: no menciona adsorcion ni adsorbente
Combination of back-propagation neural network and genetic algorithm: a novel strategy for condition optimization and mechanistic investigation of ofloxacin adsorption by N-Nb2CTx,2025,Separation and Purification Technology,10.1016/j.seppur.2025.133943,63,EXCL: no menciona medio acuoso
Using Machine Learning Algorithms to Identify Key Predictors of Invasive Mold Infection Surveillance,2025,Journal of Infectious Diseases,10.1093/infdis/jiaf219,3,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
The catalyst derived from MoS2 with Fe/Cu dual-active-sites for peroxymonosulfate activation in antibiotic degradation: The role of Fe and Cu co-doping strategy,2025,Chemical Engineering Journal,10.1016/j.cej.2025.171037,14,EXCL: no menciona medio acuoso
"The effect of sulfamethoxazole on the performance of four types of constructed wetlands: Insights into microbial response characteristics, enzyme activities, and functional genes",2025,Chemical Engineering Journal,10.1016/j.cej.2025.170691,54,EXCL: no menciona medio acuoso
Methanol enhances the transformation of antibiotics by Cyanobacteria (Synechocystis sp.) via a synergistic enzyme-photosynthetic machinery,2025,Chemical Engineering Journal,10.1016/j.cej.2025.170802,36,EXCL: no menciona medio acuoso
Engineering stable cd-based metal-organic framework photocatalysts via ligand pre-metallization and polynuclear clusters: enhanced charge separation for ciprofloxacin degradation,2025,Journal of Colloid and Interface Science,10.1016/j.jcis.2025.138568,36,EXCL: no menciona medio acuoso
Chitosan-based double-network hydrogel with synergistic photothermal/nitric oxide therapy for methicillin-resistance Staphylococcus aureus infected wound healing,2025,Journal of Colloid and Interface Science,10.1016/j.jcis.2025.138520,22,EXCL: no menciona medio acuoso
Porous Na-doped g-C3N4 via supramolecular self-assembly for enhanced photocatalytic antibiotic removal and bacterial inactivation,2025,Journal of Colloid and Interface Science,10.1016/j.jcis.2025.138529,18,EXCL: no menciona medio acuoso
Sense and shoot: NiCo-LDH hollow nanocages self-assembled on Eu-MOF nanowires for simultaneous AI-driven visual detection and degradation of fluoroquinolone antibiotics,2025,Applied Catalysis B: Environmental,10.1016/j.apcatb.2025.125646,55,EXCL: no menciona medio acuoso
Enhanced performance of hierarchical porous HKUST-1/g-C3N4 heterostructure in the degradation of antibiotics with and without light,2025,Separation and Purification Technology,10.1016/j.seppur.2025.133894,12,EXCL: no menciona adsorcion ni adsorbente
Predicting Adsorption of Volatile Organic Compounds onto Biochars with Machine Learning and Potential Applications,2025,ACS ES and T Engineering,10.1021/acsestengg.5c00547,70,EXCL: no menciona medio acuoso
Selective elimination of donor bacteria enables global profiling of plasmid gene expression at early stages of conjugation,2025,Nucleic Acids Research,10.1093/nar/gkaf1299,6,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Fusobacterium nucleatum-targeted polymeric micelles disrupting biofilm-immune crosstalk for precision colorectal cancer immunotherapy,2025,Journal of Controlled Release,10.1016/j.jconrel.2025.114400,3,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
"Spatial distribution and characterization of microplastics in the coastal water and sediment of the Bay of Bengal coast, Bangladesh",2025,Regional Studies in Marine Science,10.1016/j.rsma.2025.104353,11,EXCL: no menciona antibiotico ni hormona
Microplastics pollution and risk assessment in two urban rivers and an associated water treatment plant in Bangladesh,2025,Regional Studies in Marine Science,10.1016/j.rsma.2025.104286,18,EXCL: no menciona adsorcion ni adsorbente
Water-Soluble DOX·HCl Delivery Nanoplatform for Efficient Photothermal Therapy with Chemotherapy: Polydopamine and Mesoporous Silica-Coated Gold Nanorods,2025,Langmuir,10.1021/acs.langmuir.5c04649,6,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Simulated sunlight-driven activation of Ferrate(VI) with BiOBr for accelerated oxidation of bisphenol S (BPS),2025,Journal of Hazardous Materials,10.1016/j.jhazmat.2025.140568,12,EXCL: no menciona antibiotico ni hormona
Diminishing heavy metal co-resistance aids in antibiotic resistome elimination from livestock manure,2025,Journal of Hazardous Materials,10.1016/j.jhazmat.2025.140594,5,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
Synergistic transgenerational reproductive toxicity of polystyrene nanoplastics and butylparaben at NOAEL levels via SET-2–mediated H3K4me3 modification in Caenorhabditis elegans,2025,Journal of Hazardous Materials,10.1016/j.jhazmat.2025.140499,6,EXCL: no menciona adsorcion ni adsorbente
Simple coupling MOF-derived NiO@C/C3N4 p-n heterojunction with MoS2 for photocatalytic hydrogen production and tetracycline degradation,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.138087,29,EXCL: no menciona medio acuoso
Boosting Fenton-like reaction via enhanced charge transfer in donor-acceptor polyaniline-like conjugated microporous polymers,2025,Applied Catalysis B: Environmental,10.1016/j.apcatb.2025.125530,7,EXCL: no menciona medio acuoso
Synergistic elimination of bacillus Calmette-Guérin biofilm and tissue restoration facilitated by ultrasound-mediated nanoparticles and antioxidants,2025,International Immunopharmacology,10.1016/j.intimp.2025.115582,17,EXCL: no menciona medio acuoso
Characterization and genome analysis of novel Klebsiella pneumoniae phage vbKpUKJ_2 isolated from hospital sewage water,2025,BMC Microbiology,10.1186/s12866-025-03813-y,20,EXCL: no menciona adsorcion ni adsorbente
A modified approach towards facile and green conversion of cement kiln dust wastes to efficient hydroxyapatite-carbon nanocomposite water adsorbents,2025,Scientific Reports,10.1038/s41598-025-87249-4,26,EXCL: no menciona antibiotico ni hormona
Physiological and transcriptomic analyses revealed the alleviating effects of exogenous Ca2+ and NO compound treatment on high salt stress in Reaumuria soongorica,2025,BMC Genomics,10.1186/s12864-025-11355-w,18,EXCL: no menciona adsorcion ni adsorbente
NIR-activated catechol-functionalized nanodiamond nanofibers for accelerating on-demand MRSA and E. coli biofilm eradication,2025,Journal of Biological Engineering,10.1186/s13036-024-00469-6,21,EXCL: no menciona medio acuoso
Trace metals induce microbial risk and antimicrobial resistance in biofilm in drinking water,2025,npj Clean Water,10.1038/s41545-025-00436-8,18,EXCL: no menciona adsorcion ni adsorbente
Comprehensive genome-wide analysis of ARF transcription factors in orchardgrass (Dactylis glomerata): the positive regulatory role of DgARF7 in drought resistance,2025,BMC Genomics,10.1186/s12864-025-11241-5,6,EXCL: no menciona adsorcion ni adsorbente
Transcriptomics-based analysis of neurotoxic and reproductive effects in turbot (Scophthalmus maximus) after exposure to tris (2-chloroethyl) phosphate (TCEP),2025,BMC Genomics,10.1186/s12864-024-11061-z,28,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Prevalence and dynamics of antimicrobial resistance in pioneer and developing Arctic soils,2025,BMC Microbiology,10.1186/s12866-025-03745-7,8,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Ghrelin Induces Ferroptosis Resistance and M2 Polarization of Microglia to Alleviate Neuroinflammation and Cognitive Impairment in Alzheimer’s Disease,2025,Journal of Neuroimmune Pharmacology,10.1007/s11481-024-10165-3,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Lactiplantibacillus plantarum P101 Alleviates Liver Toxicity of Combined Microplastics and Di-(2-Ethylhexyl) Phthalate via Regulating Gut Microbiota,2025,Probiotics and Antimicrobial Proteins,10.1007/s12602-024-10439-5,6,EXCL: no menciona adsorcion ni adsorbente
Metagenomic surveillance of microbial community and antibiotic resistant genes associated with Malaysian wastewater during the COVID-19 pandemic,2025,Current Genetics,10.1007/s00294-024-01305-6,36,EXCL: no menciona adsorcion ni adsorbente
Potential Threat of Microplastic Pollution on Coastal-Marine Ecosystem– An Emerging Economic Setback and Question to Blue Economy?,2025,Earth Systems and Environment,10.1007/s41748-024-00485-y,5,EXCL: no menciona antibiotico ni hormona
"Evaluating the Probiotic Profile, Antioxidant Properties, and Safety of Indigenous Lactobacillus spp. Inhabiting Fermented Green Tender Coconut Water",2025,Probiotics and Antimicrobial Proteins,10.1007/s12602-024-10352-x,4,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
"Qnr Prevalence in Escherichia coli Isolates from Wastewater from Livestock Farms in Hamedan, Iran",2025,Archives of Clinical Infectious Diseases,10.5812/archcid-162585,40,EXCL: no menciona adsorcion ni adsorbente
(Heterogeneous Activation of Peroxymonosulfate by Cobalt-Doped MCM-41 for Removal of Fluoroquinolones),2025,Sains Malaysiana,10.17576/jsm-2025-5412-06,29,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
Local Antibiotic Delivery Systems and Their Applications in Orthopaedic Surgery,2025,JBJS Open Access,10.2106/JBJS.OA.25.00157,62,EXCL: no menciona adsorcion ni adsorbente
Microplastic contamination in the Guandu River basin: The water supply reservoir of Rio de Janeiro metropolitan region (Southeastern Brazil),2025,Cambridge Prisms: Plastics,10.1017/plc.2025.10038,7,EXCL: no menciona antibiotico ni hormona
"Motility, biofilm, and endotoxin in Ralstonia pickettii isolates obtained from purified and ultrapure pharmaceutical water systems",2025,Acta Pharmaceutica,10.2478/acph-2025-0030,56,EXCL: no menciona adsorcion ni adsorbente
"Antimicrobial Resistance in Selected Enterobacteriaceae from Broilers and Their Environment: ESBL, AmpC, Carbapenemases, Colistin, and Fluoroquinolone Resistance—A Systematic Review and Meta-Analysis",2025,Antibiotics,10.3390/antibiotics14121268,24,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Microplastic flux through submarine groundwater discharge in a subterranean estuary of Southwest India,2025,Environmental Systems Research,10.1186/s40068-025-00423-5,10,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Electrocatalytic removal of ciprofloxacin using modified Ti/TiO2 anodes with ZrO2 and Bi2O3 nanoparticles modeled via CCD-RSM approach,2025,Scientific Reports,10.1038/s41598-025-28972-w,33,EXCL: no menciona medio acuoso
Porous polymer monolithic scaffold decorated visible light responsive Bi2S3-Nb2O5 heterostructured renewable photocatalysts for the fast dissipation of contaminants of emerging concern,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.119296,20,EXCL: no menciona antibiotico ni hormona
Probiotic Potential of Pediococcus acidilactici SWP-CGPA01: Alleviating Antibiotic-Induced Diarrhea and Restoring Hippocampal BDNF,2025,Microbiology Research,10.3390/microbiolres16120261,12,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
"Integrated Monitoring of Water Quality, Metal Ions, and Antibiotic Residues, with Isolation and Optimization of Enrofloxacin-Degrading Bacteria in American Shad (Alosa sapidissima) Aquaculture Systems",2025,Journal of Xenobiotics,10.3390/jox15060174,32,EXCL: no menciona adsorcion ni adsorbente
Enhanced Antibiotic Removal via Adsorption–Photocatalysis Using a ZnO–TiO2–Halloysite Nanocomposite,2025,Minerals,10.3390/min15121253,45,EXCL: no menciona medio acuoso
Efficacy and Safety of a Plasma Vaginal Cleanser (WOMEN CARE®) Using Plasma-Activated Water in Suspected Vaginitis: A Multicenter Randomized Clinical Trial,2025,Biomedicines,10.3390/biomedicines13123076,6,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
Hospital Wastewater Surveillance and Antimicrobial Resistance: A Narrative Review,2025,Microorganisms,10.3390/microorganisms13122739,8,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
Nb-Kaolinite and Nb-TiO2-Kaolinite for Emerging Organic Pollutant Removal,2025,Minerals,10.3390/min15121322,25,EXCL: no menciona medio acuoso
"Additive Manufacturing of Graphene Oxide/Sodium Alginate–Cotton Microfiber Composite Hydrogels: Structure, Properties, and Adsorption Performance",2025,Journal of Composites Science,10.3390/jcs9120673,53,EXCL: no menciona antibiotico ni hormona
Maximizing Anilinium Ionic Solid Mineralization Using RSM: A COD and TOC Study of Photocatalytic Degradation,2025,Catalysts,10.3390/catal15121109,34,EXCL: no menciona antibiotico ni hormona
"Occurrence of Virulence and Antibiotic Resistance in Pseudomonas aeruginosa Isolated from the Environmental Water from Tamaulipas, Mexico",2025,Antibiotics,10.3390/antibiotics14121278,32,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
"Effects of Combined Oregano Essential Oil and Macleaya cordata Extract on Growth, Antioxidant Capacity, Immune Function, and Fecal Microbiota in Broilers",2025,Veterinary Sciences,10.3390/vetsci12121206,8,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Polyvalent phage GSP004 recognizes O-antigen polysaccharide receptors in Salmonella and Escherichia coli through tail fiberprotein ORF208,2025,Journal of Virology,10.1128/jvi.00810-25,11,EXCL: no menciona antibiotico ni hormona
Development of a jackfruit latex-based mucoadhesive biomaterial incorporated with pomegranate (Punica granatum L.) extract for periodontitis treatment,2025,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2025.107524,10,EXCL: no menciona medio acuoso
Evaluation of the role of alkaline and alkaline earth metal impurities in zeolite synthesis from waste glass powder and aluminum anodization sludge: synthesis and performance in endocrine disruptors adsorption,2025,Ceramics International,10.1016/j.ceramint.2025.11.192,29,EXCL: no menciona medio acuoso
Erythromycin Delivery System Based on Guanidine Polymethacrylate With Improved Antimicrobial Action and Prolonged Action—The Reposition of Old Antibiotic,2025,Polymers for Advanced Technologies,10.1002/pat.70482,44,EXCL: no menciona adsorcion ni adsorbente
Gut bacteria induce heterologous immune priming in Rhodnius prolixus encompassing both humoral and cellular immune responses,2025,PLOS Pathogens,10.1371/journal.ppat.1012947,3,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Toward food-grade production of the Glutamicibacter halophytocola diamine oxidase using Komagataella phaffii,2025,AMB Express,10.1186/s13568-025-01990-7,18,EXCL: no menciona adsorcion ni adsorbente
Two-stage surveillance of Legionella in environmental water: Optimized multiplex TaqMan qPCR for pathogen detection followed by antimicrobial resistance gene identification,2025,SAGE Open Medicine,10.1177/20503121251403893,8,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Antimicrobial Polymer Gel for Hip Joint Endoprosthetics: Efficacy in a Rabbit Model of Implant-Associated Infection,2025,Applied Biochemistry and Microbiology,10.1134/S0003683825700152,3,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Impact of hydrodynamic conditions on ofloxacin adsorption by microplastics: roles of turbulence and equilibrium capacity,2025,Environmental Science: Processes and Impacts,10.1039/d5em00659g,70,EXCL: no menciona medio acuoso
An environmentally benign chelative biosorbent for efficient adsorption remediation of tetracycline contamination,2025,Collagen and Leather,10.1186/s42825-025-00230-9,37,EXCL: no menciona medio acuoso
"Isolation and Characterization of an Arsenic-Resistant Bacterial Strain from Changki, Nagaland",2025,Nature Environment and Pollution Technology,10.46488/NEPT.2025.v24i04.B4310,10,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
Diversity of ESBL-producing E. coli in various water and sediment types,2025,PLOS ONE,10.1371/journal.pone.0338703,20,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Engineering MOF-based homojunction photocatalysts for sustainable energy and environment,2025,Environmental Science: Nano,10.1039/d5en00657k,34,EXCL: no menciona medio acuoso
Cobalt doping of FeS2 simultaneously promotes radical and nonradical pathways of O2 activation by creating dual active sites,2025,Environmental Science: Nano,10.1039/d5en00792e,10,EXCL: no menciona medio acuoso
Comparison between different mesoporous carbons in the removal of doxycycline antibiotic: experimental assays and description of adsorbate features by density functional theory (DFT),2025,Environmental Science: Nano,10.1039/d5en00336a,61,EXCL: no menciona medio acuoso
Metabolic modulation by antibiotic levofloxacin alters Cis-bifenthrin-induced neurotoxicity in amphibian tadpoles,2025,Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2025.119480,26,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Asiaticoside ameliorates pyrimethanil-induced autophagy-dependent liver injury by suppressing CRHR1,2025,Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2025.119482,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Singlet oxygen-dominated peroxymonosulfate activation for pH-universal tetracycline removal triggered by S-scheme interfacial charge transfer,2025,Surfaces and Interfaces,10.1016/j.surfin.2025.108157,17,EXCL: no menciona medio acuoso
Assessing variations and spatial patterns of antibiotic resistance genes and water quality in irrigation pond water,2025,Environmental Monitoring and Assessment,10.1007/s10661-025-14825-6,26,EXCL: no menciona adsorcion ni adsorbente
Incidence of Lyme borreliosis following Ixodes ricinus tick bites in Poland: a citizen science approach,2025,Parasites and Vectors,10.1186/s13071-025-07133-y,3,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Sex-specific reproductive toxicity of polystyrene nanoplastics and DEHP in adult zebrafish (Danio rerio),2025,Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2025.119488,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Pathological complete response to pembrolizumab in recurrent retroperitoneal dedifferentiated liposarcoma with high tumor mutational burden: a case report,2025,World Journal of Surgical Oncology,10.1186/s12957-025-04096-3,7,EXCL: no menciona medio acuoso
Natural rock asphalt-derived N/S self-doped hierarchical porous carbon for efficient removal of tetracycline,2025,Surfaces and Interfaces,10.1016/j.surfin.2025.108131,66,EXCL: no menciona medio acuoso
Synthesis and characterization of magnetic activated carbon derived from banana peels: Application in the adsorption of six emerging contaminants,2025,Journal of Water Process Engineering,10.1016/j.jwpe.2025.109078,48,EXCL: no menciona medio acuoso
Diphtheria outbreak in Somalia: a weekly sitrep on the recent health crisis-2025,2025,Tropical Medicine and Health,10.1186/s41182-025-00843-0,7,EXCL: no menciona medio acuoso
Association of leukocyte telomere length alteration with polycystic ovary syndrome in Pakistani population: a case-control study with meta-analysis,2025,Middle East Fertility Society Journal,10.1186/s43043-025-00274-1,5,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
Dissecting native plasmid functions in Lactococcus lactis: Synergistic regulation of metabolism and industrially relevant traits,2025,Journal of Dairy Science,10.3168/jds.2025-27053,11,EXCL: no menciona medio acuoso
Highly efficient antibiotic decontamination and biotoxicity elimination with activity-stability considerations via encapsulated catalyst induced peroxymonosulfate activation,2025,Journal of Environmental Management,10.1016/j.jenvman.2025.128078,29,EXCL: no menciona medio acuoso
Identification of HSP70 family and screening of drought resistance genes in sugar beet,2025,BMC Genomics,10.1186/s12864-025-12261-x,6,EXCL: no menciona adsorcion ni adsorbente
Impact of chlorinated methylparaben derivatives on drinking water biofilm structure and antibiotic susceptibility,2025,Journal of Water Process Engineering,10.1016/j.jwpe.2025.109061,20,EXCL: no menciona adsorcion ni adsorbente
Modified biochar effectively removes tetracycline and antibiotic resistance genes to enhance anaerobic digestion performance,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.120076,40,EXCL: no menciona medio acuoso
Mn-N-doped carbon aerogels accelerate tetracycline antibiotic removal from soil: Insights into underlying mechanisms and microbial community evolution,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.120329,40,EXCL: no menciona medio acuoso
Legionella in the brain: First culture-confirmed post-surgical abscess case and its successful management,2025,Infectious Diseases Now,10.1016/j.idnow.2025.105182,4,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
Analysis of avian pathogenic Escherichia Coli (APEC) and its antimicrobial resistance risk characteristics and critical control points in laying hens,2025,Poultry Science,10.1016/j.psj.2025.106049,20,EXCL: no menciona adsorcion ni adsorbente
Innovative carboxymethyl chitosan–gelatin tissue adhesive films co-delivering ciprofloxacin and Matricaria chamomilla to prevent infection and accelerate wound healing,2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2025.148900,18,EXCL: no menciona medio acuoso
Assessing the response of an anaerobic electrochemical system to salinity stress: Treatment performance and microbial dynamics,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.120113,15,EXCL: no menciona medio acuoso
Facile Synthesis of CaO/ZrO2/Ce2O3 Embedded g-C3N4 Nanocomposite for Photodegradation of Levofloxacin,2025,Chemistry Africa,10.1007/s42250-025-01493-9,39,EXCL: no menciona medio acuoso
Green catalytic degradation of antibiotics via endogenous magnetite in bottom slag from agroforestry biomass direct-fired power plants,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.119486,21,EXCL: no menciona medio acuoso
Construction of a chlorophyll-mediated enhanced denitrifying sludge system and its response to imidacloprid stress,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.119976,10,EXCL: no menciona medio acuoso
"Charge-engineered 2D layered magnetic Cl-CaFe2O4/g-C3N4 catalyst for catalytic ozonation of norfloxacin: performance, mechanism and ecotoxicological assessment",2025,Chemical Engineering Journal,10.1016/j.cej.2025.170440,18,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
Reversibility of the reproductive toxicity induced by hexafluoropropylene oxide trimer acid (HFPO-TA) in adult zebrafish (Danio rerio),2025,Aquatic Toxicology,10.1016/j.aquatox.2025.107610,14,EXCL: no menciona adsorcion ni adsorbente
Pathogenic potential of amoxicillin-clavulanic acid resistant Klebsiella pneumoniae isolated from aquatic environment: a study of multidrug resistance and virulence,2025,BMC Infectious Diseases,10.1186/s12879-025-11806-5,40,EXCL: no menciona adsorcion ni adsorbente
"Isolation and characterization of bacteriocin-producing E. coli isolates from a poultry slaughterhouse, and cell-free production and evaluation of native and engineered bacteriocins",2025,Poultry Science,10.1016/j.psj.2025.105986,6,EXCL: no menciona adsorcion ni adsorbente
The impact of triclosan exposure during the growth and development period on ovarian differentiation in female zebrafish and its mechanisms,2025,Aquatic Toxicology,10.1016/j.aquatox.2025.107605,24,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
"Unravelling the Synthesis, Characterisation, and Bioactivities of Novel Biomimetic Phytobacteriogenic Nanosilver Particles Against Multidrug-Resistant Staphylococcus aureus: A Sustainable One Health Approach",2025,BioNanoScience,10.1007/s12668-025-02165-1,21,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
MYB gene family in Magnolia biondii: Identification and functional roles in waterlogging stress response,2025,Plant Physiology and Biochemistry,10.1016/j.plaphy.2025.110505,28,EXCL: no menciona adsorcion ni adsorbente
Multiphase stable coexistence of heterojunction 1T/2H-MoS2@NH2-MIL-125(Ti) for efficient photocatalytic degradation of tetracycline,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.119603,28,EXCL: no menciona medio acuoso
"Waterlogging adaptation in the rice weed Panicum bisulcatum: Morpho-anatomical, physiological, and molecular strategies from submerged to emersed stages",2025,Plant Physiology and Biochemistry,10.1016/j.plaphy.2025.110604,16,EXCL: no menciona adsorcion ni adsorbente
Use of polyamide nanofiltration membranes with varied active layer chemistry for treating pharmaceuticals of emerging concern from saline water,2025,Emerging Contaminants,10.1016/j.emcon.2025.100583,42,EXCL: no menciona adsorcion ni adsorbente
"Characterization and transmission dynamics of carbapenemase-encoding genes in carbapenem-resistant Enterobacter cloacae isolated from eight teaching hospitals in Guangdong province, China (2022–2024)",2025,BMC Microbiology,10.1186/s12866-025-04300-0,15,EXCL: no menciona medio acuoso
Machine Learning Optimized Photocatalytic Degradation of Tetracycline Using Sulfur-Doped Zinc oxide/Chitosan Nanocomposites,2025,Journal of Polymers and the Environment,10.1007/s10924-025-03700-7,52,EXCL: no menciona medio acuoso
Integrated statistically optimized Linezolid spanlastics and hirudin PLGA-nanoparticles for the topical management of cellulitis in mice,2025,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2025.107623,10,EXCL: no menciona medio acuoso
